YEAR,MO,DY,T2M,PRECTOTCORR,PS,WS10M_MAX,WS50M_MAX,WD50M,TS,T2M_MAX
1996,1,30,20.84,0,96.77,5.13,8.51,111.12,21.83,31.67
1996,1,31,21.15,0,96.67,4.38,8.45,149.12,21.58,32.72
1996,2,1,21.5,0.51,96.56,4.55,8.88,185.25,22.08,33.4
1996,2,2,21.03,0,96.67,6.01,10.23,34.5,22.18,32.57
1996,2,3,20.8,0,96.77,5.99,9.46,56.62,21.62,31.71
1996,2,4,21.7,0,96.77,5.47,8.84,119.12,21.79,32.3
1996,2,5,22.46,0,96.72,4.95,9.38,118.44,23.12,33.12
1996,2,6,22.44,0,96.76,5.34,9.38,80.12,22.58,33.21
1996,2,7,22.05,0,96.7,4.39,7.32,191.88,22.74,33.55
1996,2,8,23.37,0,96.53,4.74,8.84,199.31,24.12,32.91
1996,2,9,22.27,0.12,96.44,5.73,8.05,256.31,23.31,30.68
1996,2,10,19.48,0.41,96.73,5.49,8.27,265.62,20.32,28.42
1996,2,11,18.73,0.56,96.99,5.2,8.95,75.69,19.95,28
1996,2,12,19.3,0,96.96,5.86,8.87,103.38,20.49,28.64
1996,2,13,21.19,0,96.65,4.12,6.88,141.88,21.19,31.35
1996,2,14,22.47,0,96.46,6.07,9.57,199.5,22.69,32.74
1996,2,15,22.42,0,96.43,3.92,8.09,252.88,23.37,32.42
1996,2,16,22.8,0.05,96.56,5.38,8.59,97.19,23.73,32.87
1996,2,17,23.7,0,96.72,5.29,8.76,71.31,25.01,34.18
1996,2,18,24.59,0,96.79,5.23,8.7,130,25.69,34.56
1996,2,19,24.87,0,96.65,5.84,8.87,202.94,26.01,35.37
1996,2,20,24.48,0,96.4,4.76,7.59,232.19,25.78,35.3
1996,2,21,24.86,0,96.35,4.35,7.58,290.88,26.06,34.94
1996,2,22,25.67,0,96.41,3.8,7.47,296,27.17,35.48
1996,2,23,26.58,0,96.5,5.74,9.03,274.62,27.9,36.13
1996,2,24,25.25,0,96.51,6.31,7.32,276,26.56,34.01
1996,2,25,26.08,0,96.44,7.21,8.73,268.88,27.55,33.81
1996,2,26,21.82,0,96.67,6.19,7.84,283.06,23.06,29.98
1996,2,27,22.3,0.36,96.81,4.82,7.51,100.38,23.51,33.09
1996,2,28,24.27,0,96.72,4.26,8.3,101.31,25.55,34.9
1996,2,29,26.11,0,96.71,6.1,8.26,125.19,26.82,36.36
1996,3,1,27.28,0,96.71,4.09,7.45,180.44,28.61,37.99
1996,3,2,27.18,0.01,96.6,5.48,7.84,179.94,28.49,36.62
1996,3,3,24.87,0.2,96.63,4.31,8.61,178.19,26.9,33.87
1996,3,4,24.95,2.29,96.84,4.94,8.87,54.56,26.43,33.8
1996,3,5,25.49,0,96.75,4.65,7.94,91.44,26.87,35.19
1996,3,6,26.39,0,96.6,4.13,6.34,139.44,27.43,35.94
1996,3,7,27.45,0,96.58,3.43,6.44,282.75,27.54,37.44
1996,3,8,27.8,0,96.56,4.49,7.7,263.75,29.08,38.12
1996,3,9,28.1,0,96.63,3.88,8.41,49.88,29.74,38.19
1996,3,10,29.35,0,96.55,4.46,8.66,61.44,30.98,39.19
1996,3,11,30.45,0,96.47,4.37,8.59,143.5,31.09,39.47
1996,3,12,31,0,96.49,3.77,8.02,221.25,32.1,40.07
1996,3,13,29.62,0,96.4,6.84,9.23,315.81,30.8,39.11
1996,3,14,28.93,0,96.3,4.62,8.66,278.12,29.97,38.09
1996,3,15,31.27,0,96.17,4.48,8.34,182.38,32.51,39.62
1996,3,16,30.74,0,96.08,4.74,8.1,251.69,32.14,38.17
1996,3,17,28.62,0,96.2,4.02,7.89,263.19,29.66,35.08
1996,3,18,28.15,0,96.33,5.98,9.26,289.81,30.15,36.69
1996,3,19,27.53,0,96.27,5.73,8.91,311.5,29.45,35.51
1996,3,20,27.35,0,96.18,5.26,8.19,305.94,29.33,37.19
1996,3,21,28.36,0,96.26,5.07,8.48,241.81,30.15,38.54
1996,3,22,29.55,0,96.37,6.15,9.11,309.19,31.08,38.37
1996,3,23,29.19,0,96.43,6.02,8.24,151.75,31.66,38.32
1996,3,24,30.04,0,96.33,3.96,7.91,188.44,32.19,39.24
1996,3,25,31.26,0,96.17,5.29,9.05,253.88,33.01,41.09
1996,3,26,31.45,0,95.99,8,9.98,288.31,32.87,41.01
1996,3,27,31.37,0,95.98,6.41,9.52,286.62,33.29,40.68
1996,3,28,31.88,0,96.04,7.04,10.49,281.56,33.56,41.76
1996,3,29,30.45,0,95.96,7.6,9.91,278.88,32.05,39.98
1996,3,30,29.25,0,95.97,5.89,8.84,294.06,31.25,39.08
1996,3,31,27.54,0,96.14,5.88,8.32,191.88,29.8,37.41
1996,4,1,27.28,0,96.2,4.95,8.36,105.94,28.99,37.94
1996,4,2,28.03,0,96.2,4.06,7.79,145.44,28.83,38.54
1996,4,3,29.01,0,96.16,3.8,5.45,166,29.27,40.16
1996,4,4,29.73,0,96.06,4.86,9.74,226.88,31.6,41.19
1996,4,5,29.25,0,96.16,5.72,10.02,273,31.37,39.25
1996,4,6,29.01,0,96.31,6.16,8.29,277.12,31.3,38.83
1996,4,7,30.49,0,96.53,5.9,9.5,294.38,32.47,39.55
1996,4,8,30.89,0,96.48,7.27,9.78,299.12,32.75,40.19
1996,4,9,29.11,0,96.24,7.63,9.66,298.94,30.91,38.79
1996,4,10,28.09,0,96.14,4.81,8.09,308,30.12,38.84
1996,4,11,29.24,0,96.12,3.52,6.95,174.88,31.19,39.12
1996,4,12,30.79,0,96.23,4.56,8.12,270.5,33.37,40.4
1996,4,13,31.96,0,96.42,4.24,8.06,135.62,34.88,40.12
1996,4,14,31.77,0,96.51,3.48,6.62,187.81,34.05,39.44
1996,4,15,31.92,0.02,96.41,4.7,7.8,65.81,33.68,40.19
1996,4,16,31.83,0,96.1,3.99,7.15,231.44,33.96,40.77
1996,4,17,31.8,0.01,96.05,6.96,9.23,279.62,33.85,41.05
1996,4,18,32.47,0,96.15,6.29,9.32,280.38,35.32,41.3
1996,4,19,31.44,0,96.26,9.2,11.27,306.88,33.89,38.48
1996,4,20,31.3,1.32,96.25,6.04,9.36,301.31,34.42,39.64
1996,4,21,30.92,1.12,96.18,6.13,9.33,288,33.99,39.01
1996,4,22,31.48,0,96.23,5.21,8,296.94,34.75,39.22
1996,4,23,32.6,0.01,96.21,5.9,9.02,297.88,35.54,40.57
1996,4,24,33.25,0,96.12,5.1,9.12,302.38,36.35,41.47
1996,4,25,33.65,0,95.97,7.01,9.09,287.44,36.1,42.22
1996,4,26,33.92,0,95.89,6.48,9.31,277.94,36.4,42.96
1996,4,27,34.09,0,95.87,6.95,10.02,276.31,37.07,42.98
1996,4,28,34.73,0,95.88,7.23,10.25,283,37.51,43.92
1996,4,29,34.92,0,95.9,7.83,10.36,288.75,37.73,44.18
1996,4,30,34.36,0,95.89,7.84,10.06,294.25,36.73,43.68
1996,5,1,33.62,0,95.83,8.75,10.34,274.94,36.01,42.69
1996,5,2,32.17,0,96,7.49,9.72,275.94,34.87,40.82
1996,5,3,31.9,0,96.1,6.27,8.64,288.5,34.69,40.15
1996,5,4,32.51,0,96.12,5.99,8.85,284.94,35.36,40.94
1996,5,5,33.15,0,95.93,6.02,9.76,290.06,36.37,41.65
1996,5,6,33.93,0,95.9,6.02,9.46,304.75,37.05,42.91
1996,5,7,34.29,0,96,6.18,10.13,310.25,37.15,43.74
1996,5,8,33.98,0,95.96,6.7,10.34,283,36.59,43.06
1996,5,9,33.42,0,95.97,8.49,9.96,270.06,35.87,42.05
1996,5,10,31.72,0,96.09,8.73,10.33,263.19,34.23,40.23
1996,5,11,31.48,0,96.29,8.27,9.8,266.25,34.1,39.44
1996,5,12,32.37,0,96.32,8.01,9.42,271.62,35.3,40.7
1996,5,13,32.36,0,96.22,8.28,9.77,271.12,35.14,40.81
1996,5,14,31.76,0,96.11,9.45,11.05,271.12,34.48,39.98
1996,5,15,31.87,0,96.23,7.34,8.95,273.12,35.48,40.19
1996,5,16,32.4,0,96.39,6.55,8.49,282.81,35.64,40.25
1996,5,17,33.36,0,96.31,6.1,7.59,287.56,36.68,40.96
1996,5,18,34.18,0,96.06,6.58,9.55,290.06,37.62,41.69
1996,5,19,32.65,0,96.06,7.7,9.86,282.25,35.87,39.42
1996,5,20,32.66,0.03,96.19,6.75,8.25,285.25,36.05,39.58
1996,5,21,34.71,0,96.12,6.87,9,286.69,39.05,42.19
1996,5,22,35.91,0,96.02,7.12,9.08,296.44,39.76,43.23
1996,5,23,35.74,4.6,95.94,7.38,10.71,305.12,38.68,43
1996,5,24,34.13,5.77,95.93,7.54,10.7,315,36.17,41.37
1996,5,25,35.1,0,96,6.9,10.16,315.5,37.57,42.14
1996,5,26,35.5,0,95.94,7.22,10.34,315.94,38.39,43.05
1996,5,27,35.06,0.03,95.72,8.79,10.21,287.5,37.64,42.58
1996,5,28,33.34,0,95.57,8.67,10.04,271.81,36.3,41.19
1996,5,29,33.7,0,95.49,8.59,9.91,269.88,36.99,41.43
1996,5,30,34.28,0,95.76,7.39,8.45,281.5,37.67,41.75
1996,5,31,36.26,0,95.92,7.38,10.38,299.94,39.59,44.03
1996,6,1,36.56,0,95.8,8.07,10.97,295.81,39.55,44.01
1996,6,2,35.26,0,95.71,9.85,11.53,278.12,38.1,43.51
1996,6,3,35.04,0,95.67,8.16,10.55,277.5,38.19,43.27
1996,6,4,34.91,0,95.67,8.47,10.81,268.12,37.92,43.87
1996,6,5,33.77,0.01,95.71,8.83,10.95,265.56,36.73,42.64
1996,6,6,33.52,0,95.85,7.95,9.16,279.5,36.64,41.4
1996,6,7,35.4,0.03,95.92,7.52,8.59,294.62,39.14,42.51
1996,6,8,36.24,0.16,95.76,8.15,9.43,312.12,39.43,42.9
1996,6,9,37.71,0.05,95.65,7.47,9.59,272.31,41.19,44.4
1996,6,10,36,0.68,95.81,7.23,8.8,284,39.85,41.86
1996,6,11,35.41,0.4,95.84,8.3,10.2,297,38.95,42.35
1996,6,12,35.04,2.1,95.66,9.51,11.75,297.62,37.9,41.48
1996,6,13,31.33,13.11,95.62,6.32,8.09,172.19,32.2,34.15
1996,6,14,32.97,1.91,95.35,5.27,7.02,71.25,35.01,39.83
1996,6,15,33.58,6.85,95.15,5.16,6.66,90.88,35.18,39.75
1996,6,16,33.05,1.08,95.05,5.32,6.27,174.94,35.37,39.39
1996,6,17,33.4,1.65,94.97,4.91,7.21,202.38,35.86,39.66
1996,6,18,30.3,16.39,95.04,5.91,7.45,184.5,31.89,35.81
1996,6,19,29.98,0.55,94.99,11.81,14.03,188.69,31.66,37.87
1996,6,20,28.76,3.68,95.25,12.87,15.13,230.25,30.36,34.05
1996,6,21,28.87,2.23,95.55,9.76,11.52,249.88,30.69,35.38
1996,6,22,29.18,1.32,95.6,9.31,11.05,255.19,31.12,36.11
1996,6,23,29.48,0,95.59,8.28,9.72,255.62,31.32,36.26
1996,6,24,29.28,0,95.7,8.16,9.68,259.69,30.91,35.99
1996,6,25,30.37,0,95.73,8.44,9.99,266.88,32.6,37.22
1996,6,26,30.47,0.02,95.85,8.09,9.57,270.94,33.05,37.25
1996,6,27,29.65,0,96.01,7.3,8.85,282.81,32.19,35.57
1996,6,28,30.2,0,95.99,8.44,10.12,267.81,32.65,36.63
1996,6,29,30.54,0,95.93,9.3,11.69,259.94,33.28,37.83
1996,6,30,30.01,0.76,95.95,9.44,11.41,261.56,32.57,36.77
1996,7,1,29.55,8.21,95.89,7.55,9.48,263.75,31.58,35.85
1996,7,2,29.32,7.68,96,6.83,8.08,269.94,30.98,35.63
1996,7,3,30.15,0.87,96.08,6.23,7.58,274.06,32.39,36.5
1996,7,4,30.12,1.63,95.98,6.28,8.2,266.19,32.31,36.73
1996,7,5,29.28,0.67,95.8,6.84,8.14,269.38,31.12,35.01
1996,7,6,30.02,0.04,95.68,6.27,7.54,278.75,32.19,36.37
1996,7,7,29.39,0.82,95.7,7.56,8.99,277.19,30.96,34.54
1996,7,8,28.42,8.3,95.75,5.49,6.47,287.12,29.58,32.77
1996,7,9,29.36,15.72,95.79,4.64,6.95,278.19,30.93,34.42
1996,7,10,28.55,2.84,95.7,5.39,6.86,248.75,29.88,33.87
1996,7,11,26.44,0.39,95.46,5.33,6.52,272.5,26.92,28.66
1996,7,12,28.18,0.18,95.4,4.2,4.77,253.75,29.96,34.18
1996,7,13,28.21,0.11,95.55,4.82,5.83,275.88,29.63,33.38
1996,7,14,29.25,0.24,95.57,3.89,5.49,218.94,31.4,34.86
1996,7,15,28.67,11.76,95.5,3.2,3.57,140,30.17,33.78
1996,7,16,28.08,8.73,95.4,4.23,4.98,271.31,28.89,31.69
1996,7,17,29.4,2.11,95.42,4.23,6.46,229.44,31.05,34.81
1996,7,18,28.94,4.23,95.51,4.41,6.27,254.94,30.17,33.87
1996,7,19,28.97,2.51,95.42,4.78,6.2,253.06,30.44,34.56
1996,7,20,27.46,5,95.46,6.55,7.8,238.56,28.3,32.08
1996,7,21,27.47,6.44,95.47,6.3,7.47,255.62,28.53,32.01
1996,7,22,26.51,38.49,95.26,7.47,9.9,198.69,27.29,30.44
1996,7,23,26.49,10.38,95.18,7.81,9.8,271.25,26.85,30.47
1996,7,24,25.37,19.6,95.25,7.46,9.42,279.25,25.41,27.26
1996,7,25,25.01,24.85,95.32,8.51,10.77,277.44,24.9,27.15
1996,7,26,24.92,47.62,95.26,10.44,13.23,278.06,24.77,27.13
1996,7,27,24.67,130.1,95.2,10.16,13.79,276.12,24.41,26.51
1996,7,28,24.64,52.23,95.38,10.18,13.81,261.25,24.59,28.44
1996,7,29,25.29,11.71,95.54,8.55,10.57,252.19,25.69,29.41
1996,7,30,25.5,3.03,95.63,7.21,8.92,263.75,25.91,29.46
1996,7,31,25.65,1.46,95.66,7.63,9.16,264,26.1,29.83
1996,8,1,25.92,2.92,95.69,6.21,8.36,260,26.37,30.5
1996,8,2,25.22,7.86,95.57,7.26,9.05,265.31,25.3,28.29
1996,8,3,25.17,16.09,95.54,7.63,9.62,268,25.15,27.47
1996,8,4,25.01,16.53,95.55,6.45,8.27,264.12,24.98,27.26
1996,8,5,24.31,5.73,95.5,9.25,11.78,261.44,24.37,26.55
1996,8,6,24.15,20.29,95.62,9.89,12.44,254.81,24.19,26.03
1996,8,7,24.86,15.95,95.71,10.59,13.23,261.19,25.11,28.89
1996,8,8,24.69,9.84,95.77,9.39,11.69,274.88,24.92,28.33
1996,8,9,24.12,6.91,95.79,6.71,8.3,279.31,24.13,27.27
1996,8,10,24.93,2.22,95.82,6.28,7.78,286.06,25.24,28.72
1996,8,11,25.9,0.25,95.83,4.68,6.08,282,26.31,30.02
1996,8,12,26.35,0.03,95.81,4.45,6.66,278.31,26.99,30.59
1996,8,13,25.63,0.03,95.64,5.72,6.91,269.06,26.04,29.76
1996,8,14,25.28,0.63,95.6,4.77,5.7,248.19,25.55,28.46
1996,8,15,25.75,1.38,95.81,4.59,5.98,261.62,26.32,30.27
1996,8,16,25.75,0.86,95.89,4.12,5.86,267,26.44,30.17
1996,8,17,26.11,0.34,95.87,4.63,6.73,269.31,26.77,30.35
1996,8,18,25.12,0.31,95.87,5.35,6.66,259.94,25.33,28.3
1996,8,19,24.86,0.41,95.71,7.24,8.98,274.5,25.04,27.91
1996,8,20,23.98,11.1,95.63,7.74,9.79,265.25,23.94,25.59
1996,8,21,24.15,13.12,95.8,8.02,10.17,266.94,24.15,27.36
1996,8,22,24.65,4.3,96.01,6.74,8.23,262.81,25.08,28.98
1996,8,23,25.38,0.39,96.06,5.2,6.26,274.81,25.89,30.37
1996,8,24,25.96,0.42,95.98,4.8,5.93,305,26.44,30.5
1996,8,25,25.95,3.56,95.94,5.07,7.11,325.62,26.29,30.36
1996,8,26,25.37,8.28,95.89,6.06,7.48,322.44,25.4,29.57
1996,8,27,25.34,8.36,95.8,5.65,7.31,225.25,25.08,27.9
1996,8,28,26.72,15.7,95.77,4.27,6.09,40.31,26.81,30.51
1996,8,29,26.07,10.85,95.71,4.12,6.15,154.12,26.06,29.19
1996,8,30,25.58,17.62,95.83,5.92,7.28,288.25,25.68,29.02
1996,8,31,25.08,11.59,95.98,7.23,9.04,278.19,25.12,27.99
1996,9,1,24.56,8.11,96.1,4.31,6.45,281.31,24.61,27.61
1996,9,2,24.62,1.49,96.02,3.87,5.48,287.75,24.68,27.86
1996,9,3,25.13,0.38,95.99,5,6.23,280.25,25.43,28.79
1996,9,4,25.58,0.41,96.02,4.15,5.49,291.75,26.12,29.61
1996,9,5,26.28,0.16,95.92,2.88,5.12,248.06,26.96,30.82
1996,9,6,26.13,7.53,95.84,2.12,3.61,171.81,26.25,30.02
1996,9,7,24.48,35.53,95.79,4.7,5.94,289.81,24.36,26.18
1996,9,8,24.53,30.61,95.75,5.24,6.49,263.38,24.61,27.83
1996,9,9,24.33,11.22,95.79,3.02,5.02,213.5,24.55,27.5
1996,9,10,25.74,2.42,95.85,3.17,4.7,261.31,25.98,30.01
1996,9,11,26.61,1.45,95.79,3.37,4.62,309.94,26.85,30.69
1996,9,12,26.78,0.61,95.86,3.26,5.32,309.44,27.06,30.8
1996,9,13,27.12,1.25,95.89,3.26,5.52,234.5,27.31,31.35
1996,9,14,26.57,5.29,95.72,3.87,5.24,328.88,26.68,30.08
1996,9,15,25.99,16.76,95.73,4.53,5.66,304.5,25.92,29.19
1996,9,16,25.44,19.88,95.86,6.47,8.04,306.06,25.48,28.92
1996,9,17,25.44,7.68,95.85,6.67,8.3,300.81,25.53,29.44
1996,9,18,24.85,0.76,95.89,6.11,7.48,283.94,25.09,29.05
1996,9,19,24.44,0.04,96.03,6.18,7.5,278.25,24.73,29.12
1996,9,20,23.97,0,96.15,6.13,7.61,286.56,24.25,28.71
1996,9,21,23.83,0.07,96.25,4.41,6.19,312.25,24.05,29.27
1996,9,22,24.34,0,96.3,3.44,5.89,331.25,24.37,30
1996,9,23,25.32,0,96.2,3.98,6.7,279.12,25.21,31.26
1996,9,24,25.65,0.01,96.24,3.79,6.06,263.12,25.37,31.86
1996,9,25,25.89,0.12,96.27,3.98,6.62,335.12,25.61,32.11
1996,9,26,25.58,0.49,96.05,3.95,7.45,307.06,25.4,32.04
1996,9,27,25.14,0,96.05,4.41,7.35,306.75,24.94,31.48
1996,9,28,25.44,0,96.13,4.7,7.6,313.56,25.34,31.59
1996,9,29,25.16,0.36,96.12,4.84,7.03,334,24.95,31.49
1996,9,30,24.84,0.01,96.13,4.21,6.7,176.5,24.62,31.36
1996,10,1,24.97,0,96.11,5.7,7.34,34.44,24.78,30.9
1996,10,2,25.26,0.83,96.07,4.98,7.11,68.44,25.33,29.17
1996,10,3,25.14,0.92,95.77,5.82,7.67,73.5,25.16,29.23
1996,10,4,24.44,4.39,95.72,3.94,6.15,213.56,24.39,27.78
1996,10,5,22.9,2.52,96.2,5.34,6.7,280.94,22.84,28.3
1996,10,6,23.03,0.2,96.34,4.59,7.39,290.62,22.99,28.95
1996,10,7,24.05,0.05,96.52,2.85,4.45,173.75,23.61,29.91
1996,10,8,25.11,0,96.73,2.02,3.48,68.12,24.41,29.98
1996,10,9,23.6,0,96.69,3.17,5.23,64.62,22.75,29.89
1996,10,10,23.97,0,96.59,2.74,3.74,61.56,22.01,30.21
1996,10,11,23.71,0,96.61,2.22,3.5,43.44,22.09,30.23
1996,10,12,23.27,0,96.72,3.38,4.84,61,22.24,30.69
1996,10,13,23.18,0,96.84,3.73,5.7,70,22.93,29.9
1996,10,14,23.52,0,96.71,3.75,5.83,60.19,23.23,30.18
1996,10,15,22.96,0,96.57,3.3,6.66,61.19,22.51,30.23
1996,10,16,22.62,0,96.54,2.88,5.29,73.06,21.89,30.04
1996,10,17,22.55,0,96.6,3.57,6.88,72.75,21.94,30.04
1996,10,18,21.64,0,96.61,4.77,6.85,77.06,21.41,29.69
1996,10,19,21.73,0,96.53,4.03,6.36,78.88,21.38,29.46
1996,10,20,21.95,0,96.45,3.82,6.22,68.44,21.66,29.26
1996,10,21,22.78,0.01,96.4,3.87,7.02,72.88,22.58,29.47
1996,10,22,21.91,0.42,96.43,4.49,8.19,68.94,21.65,26.76
1996,10,23,20.6,2.6,96.53,6.13,8.4,63.56,20.56,25.53
1996,10,24,20.52,2.92,96.56,7.14,9.11,67,20.48,23.21
1996,10,25,22.86,4.62,96.47,5.81,8.22,93,23.15,28.61
1996,10,26,22.51,8.18,96.41,3.91,6.96,40.62,22.92,27.29
1996,10,27,22.81,28.43,96.24,3.91,6.81,50.31,23.12,28.24
1996,10,28,22.73,0.77,96.42,4.62,6.47,35.56,22.83,28.45
1996,10,29,22.32,0.04,96.49,3.59,7.18,116.75,21.43,29.23
1996,10,30,22.61,0,96.52,1.58,2.28,178.06,20.15,29.15
1996,10,31,21.98,0,96.51,2.21,3.38,324,19.65,29.12
1996,11,1,21.73,0,96.55,2.78,4.56,301.19,19.84,30.06
1996,11,2,21.1,0,96.53,3.16,5.69,204,19.87,30.14
1996,11,3,21.03,0,96.49,3.46,6.45,277.12,19.78,29.46
1996,11,4,21.23,0,96.51,2.54,4.1,46.19,19.44,28.8
1996,11,5,20.8,0,96.49,3,5.24,28.62,19.49,28.83
1996,11,6,19.98,0,96.51,4.07,6.39,48.75,19.23,28.64
1996,11,7,18.99,0,96.63,4.95,7.74,54.88,18.52,27.87
1996,11,8,20.65,0,96.71,4.87,8.52,58.94,20.61,28.82
1996,11,9,21.74,0.02,96.74,4.12,6.86,68.5,22.11,27.19
1996,11,10,23.19,0.48,96.61,3.01,5.56,165.19,23.56,29.25
1996,11,11,22.51,0.43,96.6,3.18,3.69,245.25,22.11,25.74
1996,11,12,22.17,0.04,96.66,4.02,6.3,289.38,22.54,29.05
1996,11,13,21.13,0,96.7,4.29,6.68,317.06,21.07,28.53
1996,11,14,21.14,0,96.92,3.16,6.33,171.75,20.76,29.37
1996,11,15,20.31,0,97.15,4.79,7.3,51.81,20.27,29.15
1996,11,16,19.08,0,97.09,5.18,8.18,43.62,18.98,28.55
1996,11,17,17.47,0,97.04,3.58,7.13,58.19,17.05,28.26
1996,11,18,17.83,0,97.08,3.88,7,82.5,17.12,28.33
1996,11,19,18.23,0,96.99,4.29,6.99,109.88,17.4,28.58
1996,11,20,19.01,0,96.95,3.11,5.45,128.69,18.46,29.12
1996,11,21,19.58,0,96.89,2.91,4.97,111.12,18.83,28.89
1996,11,22,20.4,0,96.78,3.14,4.64,107.19,19.37,29.19
1996,11,23,21.04,0,96.78,2.92,5.19,123.75,20.41,30.07
1996,11,24,20.22,0,96.72,4.2,8.11,60.75,20.4,29.91
1996,11,25,20.05,0,96.7,3.57,7.9,69.5,20.02,30.02
1996,11,26,21.38,0,96.72,3.12,5.62,106.69,20.21,30.49
1996,11,27,22.08,0,96.63,3.11,4.93,92.12,20.49,30.41
1996,11,28,21.84,0,96.52,2.06,2.78,123.81,20.31,29.99
1996,11,29,21.54,0,96.6,2.2,3.01,114.38,20.55,29.11
1996,11,30,20.97,0,96.66,3.15,6.09,97.12,20.55,29.09
1996,12,1,19.83,0,96.74,4.74,7.52,99,20,28.55
1996,12,2,19.08,0,96.72,4.38,8.2,98.56,19.44,28.11
1996,12,3,18.39,0,96.76,5.12,8.4,81.81,18.7,27.98
1996,12,4,17.87,0,96.79,4.21,8.23,71.12,18.05,27.66
1996,12,5,18.03,0,96.66,4.73,8.4,102.88,18.1,27.92
1996,12,6,17.98,0,96.82,4.47,8.22,63.94,18.01,28.08
1996,12,7,18.33,0,97.06,5.27,9.21,60.12,18.55,28.35
1996,12,8,17.76,0,97.1,5.7,9.04,48.25,18.04,27.72
1996,12,9,15.75,0,96.98,4.68,8.66,52.62,15.83,26.51
1996,12,10,14.98,0,96.96,4.8,8.55,63.31,14.87,26.44
1996,12,11,15.35,0,96.95,4.71,8.41,69.94,15.15,27.34
1996,12,12,15.35,0,96.96,4.73,8.77,72.75,15.05,27.26
1996,12,13,15.36,0,96.97,4.73,8.76,74.38,15.05,27.77
1996,12,14,16.48,0,96.89,3.88,7.69,66.12,15.88,28.58
1996,12,15,17.55,0,96.74,4.16,7.19,64.75,17.01,29.38
1996,12,16,18.54,0,96.77,3.73,6.82,85.44,18.05,30.16
1996,12,17,19.08,0,96.96,4.87,7.92,78.44,19.18,29.59
1996,12,18,19.18,0,97.02,5.52,8.38,72.81,19.5,28.86
1996,12,19,19.05,0,97.06,5.11,9.2,72.31,19.58,28.69
1996,12,20,19.53,0,97.11,5.14,8.34,73.19,19.98,28.24
1996,12,21,20.43,0,97.11,4.88,8.27,73.75,20.99,29.89
1996,12,22,19.1,0,97.16,4.02,7.99,81.56,19.44,29.85
1996,12,23,18.72,0,97.14,3.7,7.29,88.56,18.53,29.27
1996,12,24,19.48,0,97.02,3.89,6.58,88,19.79,29.97
1996,12,25,20.89,0,96.97,3.23,5.66,153.25,20.77,31.26
1996,12,26,21.06,0,96.94,3.12,6.27,146.62,21.28,30.54
1996,12,27,20.95,0,97.01,4.78,6.9,63.25,21.14,29.37
1996,12,28,19.52,0,97.09,4.75,7.38,59.56,20.28,29.4
1996,12,29,19.08,0,97.08,3.55,7.44,77.31,19.51,29.44
1996,12,30,18.42,0,97.1,4.66,8.16,73.75,18.94,29.07
1996,12,31,18.01,0,97.17,5.22,8.49,79.56,18.26,28.81
1997,1,1,17.54,0,97.18,5.29,8.63,69.69,18.02,28.08
1997,1,2,18.6,0,97.05,4.26,7.77,94.44,17.88,28.38
1997,1,3,18.69,0,96.89,3.54,5.23,109.38,17.39,28.9
